,conformal_predictor,normalized_cp_knn_dist,normalized_cp_knn_std,normalized_cp_knn_res,normalized_cp_norm_var,mondrian_cp,symbolic_regression_cp
non-dominated,10,4,5,9,10,13,14
dominated,12,18,17,13,12,9,8
alone,0,0,0,0,0,3,1
